user_id,country,monthly_income,monthly_expenses,savings,risk_level,goal
1,Kenya,132,117,43,medium,educate children
2,South Africa,136,75,81,low,buy land
3,South Africa,132,123,27,low,save for emergencies
4,South Africa,244,196,58,medium,buy land
5,Nigeria,117,110,42,low,save for emergencies
6,Nigeria,181,92,110,low,save for emergencies
7,Ghana,287,230,100,medium,save for emergencies
8,Nigeria,221,169,72,medium,buy land
9,South Africa,190,170,41,medium,invest in farming
10,Nigeria,282,248,58,medium,start a small business
11,Kenya,78,65,54,medium,buy land
12,South Africa,217,187,44,medium,invest in farming
13,Kenya,219,170,95,medium,start a small business
14,Kenya,80,42,74,high,start a small business
15,Ghana,164,102,70,low,invest in farming
16,Uganda,196,115,84,medium,buy land
17,Uganda,118,72,95,high,educate children
18,South Africa,294,236,59,high,save for emergencies
19,Kenya,121,106,21,medium,invest in farming
20,Uganda,293,180,126,medium,invest in farming
21,Nigeria,110,90,69,low,buy land
22,Uganda,31,28,8,medium,start a small business
23,South Africa,83,44,67,high,educate children
24,Nigeria,220,127,118,low,buy land
25,Kenya,73,45,63,low,save for emergencies
26,Kenya,299,243,103,high,buy land
27,Kenya,244,183,100,low,educate children
28,Ghana,242,200,86,medium,save for emergencies
29,South Africa,82,64,43,low,buy land
30,South Africa,246,182,108,medium,start a small business
31,Uganda,70,63,21,low,save for emergencies
32,Uganda,94,71,29,high,start a small business
33,South Africa,38,19,62,low,educate children
34,South Africa,165,144,31,low,save for emergencies
35,Nigeria,110,62,82,high,educate children
36,Kenya,290,185,132,medium,buy land
37,Kenya,164,154,17,low,start a small business
38,South Africa,297,180,164,high,save for emergencies
39,Kenya,91,68,59,low,save for emergencies
40,Uganda,128,107,60,medium,educate children
41,Kenya,243,211,66,medium,invest in farming
42,Uganda,256,228,74,medium,start a small business
43,Uganda,160,80,84,medium,educate children
44,Nigeria,247,136,149,medium,invest in farming
45,South Africa,236,132,129,low,invest in farming
46,South Africa,71,62,21,low,invest in farming
47,Ghana,208,166,73,medium,save for emergencies
48,Uganda,260,242,49,low,educate children
49,South Africa,251,225,48,low,start a small business
50,Uganda,260,238,36,high,buy land
51,Nigeria,200,128,107,low,save for emergencies
52,South Africa,42,27,36,low,save for emergencies
53,Ghana,95,88,51,low,invest in farming
54,Uganda,91,50,68,low,save for emergencies
